%Mean HIS spectrum for Band 1 and standard deviation. 
%   24 individual spectra used in the average.
%
%     wavenumber       radiance          1 standard deviation
% data obtained from http://deluge.ssec.wisc.edu/~his/his/his.html
     681.067385        0.038721        0.000288 
     681.342898        0.037635        0.000500 
     681.618410        0.036951        0.000520 
     681.893923        0.037021        0.000346 
     682.169436        0.039525        0.000380 
     682.444948        0.041322        0.000562 
     682.720461        0.038378        0.000467 
     682.995974        0.036915        0.000393 
     683.271486        0.037166        0.000255 
     683.546999        0.036505        0.000421 
     683.822512        0.039954        0.000356 
     684.098025        0.040225        0.000508 
     684.373537        0.037402        0.000418 
     684.649050        0.037282        0.000309 
     684.924563        0.036488        0.000504 
     685.200075        0.037266        0.000346 
     685.475588        0.039882        0.000524 
     685.751101        0.039328        0.000456 
     686.026613        0.037057        0.000312 
     686.302126        0.037405        0.000521 
     686.577639        0.036750        0.000322 
     686.853152        0.036978        0.000473 
     687.128664        0.039895        0.000599 
     687.404177        0.038231        0.000452 
     687.679690        0.036741        0.000337 
     687.955202        0.037601        0.000300 
     688.230715        0.036597        0.000358 
     688.506228        0.037392        0.000406 
     688.781740        0.039968        0.000305 
     689.057253        0.037749        0.000379 
     689.332766        0.036496        0.000396 
     689.608279        0.038321        0.000384 
     689.883791        0.036327        0.000433 
     690.159304        0.037861        0.000402 
     690.434817        0.039772        0.000360 
     690.710329        0.036492        0.000311 
     690.985842        0.037951        0.000295 
     691.261355        0.039544        0.000333 
     691.536867        0.037016        0.000358 
     691.812380        0.037724        0.000319 
     692.087893        0.038367        0.000403 
     692.363406        0.036308        0.000350 
     692.638918        0.039786        0.000539 
     692.914431        0.040697        0.000404 
     693.189944        0.036274        0.000372 
     693.465456        0.038241        0.000322 
     693.740969        0.037793        0.000399 
     694.016482        0.036959        0.000340 
     694.291994        0.042577        0.000308 
     694.567507        0.041333        0.000405 
     694.843020        0.036933        0.000479 
     695.118533        0.038134        0.000467 
     695.394045        0.036359        0.000555 
     695.669558        0.038246        0.000393 
     695.945071        0.045895        0.000405 
     696.220583        0.042116        0.000293 
     696.496096        0.037805        0.000189 
     696.771609        0.038314        0.000485 
     697.047121        0.035564        0.000426 
     697.322634        0.042066        0.000380 
     697.598147        0.048349        0.000365 
     697.873660        0.043089        0.000388 
     698.149172        0.039741        0.000336 
     698.424685        0.037560        0.000402 
     698.700198        0.036556        0.000377 
     698.975710        0.044616        0.000347 
     699.251223        0.049838        0.000384 
     699.526736        0.045626        0.000247 
     699.802248        0.041736        0.000270 
     700.077761        0.037458        0.000317 
     700.353274        0.038748        0.000357 
     700.628787        0.046347        0.000382 
     700.904299        0.048098        0.000406 
     701.179812        0.049173        0.000337 
     701.455325        0.044373        0.000323 
     701.730837        0.035757        0.000412 
     702.006350        0.044442        0.000411 
     702.281863        0.049725        0.000431 
     702.557375        0.044721        0.000434 
     702.832888        0.051830        0.000474 
     703.108401        0.046702        0.000329 
     703.383914        0.034532        0.000316 
     703.659426        0.051897        0.000251 
     703.934939        0.055752        0.000263 
     704.210452        0.045028        0.000415 
     704.485964        0.060106        0.000349 
     704.761477        0.050497        0.000393 
     705.036990        0.035645        0.000357 
     705.312502        0.059427        0.000360 
     705.588015        0.056415        0.000399 
     705.863528        0.047544        0.000339 
     706.139041        0.067979        0.000223 
     706.414553        0.051533        0.000311 
     706.690066        0.039440        0.000295 
     706.965579        0.068603        0.000279 
     707.241091        0.053816        0.000307 
     707.516604        0.045803        0.000367 
     707.792117        0.074126        0.000338 
     708.067629        0.051573        0.000382 
     708.343142        0.046860        0.000287 
     708.618655        0.071939        0.000337 
     708.894168        0.049283        0.000372 
     709.169680        0.053465        0.000318 
     709.445193        0.078346        0.000307 
     709.720706        0.051836        0.000305 
     709.996218        0.055523        0.000327 
     710.271731        0.072475        0.000363 
     710.547244        0.045018        0.000370 
     710.822756        0.064590        0.000322 
     711.098269        0.081182        0.000221 
     711.373782        0.049197        0.000333 
     711.649295        0.065527        0.000303 
     711.924807        0.068554        0.000379 
     712.200320        0.042932        0.000334 
     712.475833        0.080356        0.000303 
     712.751345        0.090409        0.000335 
     713.026858        0.054124        0.000331 
     713.302371        0.067782        0.000290 
     713.577883        0.060829        0.000250 
     713.853396        0.047246        0.000379 
     714.128909        0.093011        0.000294 
     714.404422        0.091302        0.000264 
     714.679934        0.061607        0.000209 
     714.955447        0.070742        0.000358 
     715.230960        0.055604        0.000275 
     715.506472        0.059690        0.000277 
     715.781985        0.101870        0.000358 
     716.057498        0.090920        0.000400 
     716.333010        0.072231        0.000291 
     716.608523        0.067436        0.000347 
     716.884036        0.050489        0.000337 
     717.159549        0.073765        0.000292 
     717.435061        0.095034        0.000389 
     717.710574        0.083641        0.000288 
     717.986087        0.071872        0.000259 
     718.261599        0.053997        0.000385 
     718.537112        0.048456        0.000279 
     718.812625        0.053699        0.000285 
