Source:  4STAR 6" Labsphere via SWS to ARCS 455 
Date:    2011-03-08 
Units:   Radiance in mW/(m^2.sr.nm) 
Source:  4STAR 6" Labsphere via SWS to ARCS 455 
Source:  6" sphere, 2" opening 
Dist:  5.5" 
nm ,   radiance 
1087.00, 133.29 
1088.00, 133.29 
1089.00, 133.29 
1090.00, 133.29 
1091.00, 133.29 
1092.00, 133.29 
1093.00, 133.29 
1094.00, 133.29 
1095.00, 133.3 
1096.00, 133.31 
1097.00, 133.32 
1098.00, 133.32 
1099.00, 133.33 
1100.00, 133.32 
1101.00, 133.3 
1102.00, 133.26 
1103.00, 133.21 
1104.00, 133.16 
1105.00, 133.1 
1106.00, 133.05 
1107.00, 132.98 
1108.00, 132.9 
1109.00, 132.82 
1110.00, 132.74 
1111.00, 132.66 
1112.00, 132.57 
1113.00, 132.48 
1114.00, 132.39 
1115.00, 132.29 
1116.00, 132.2 
1117.00, 132.11 
1118.00, 132.03 
1119.00, 131.95 
1120.00, 131.87 
1121.00, 131.79 
1122.00, 131.73 
1123.00, 131.67 
1124.00, 131.63 
1125.00, 131.59 
1126.00, 131.56 
1127.00, 131.53 
1128.00, 131.51 
1129.00, 131.5 
1130.00, 131.49 
1131.00, 131.48 
1132.00, 131.48 
1133.00, 131.47 
1134.00, 131.47 
1135.00, 131.46 
1136.00, 131.45 
1137.00, 131.44 
1138.00, 131.42 
1139.00, 131.41 
1140.00, 131.4 
1141.00, 131.4 
1142.00, 131.4 
1143.00, 131.4 
1144.00, 131.4 
1145.00, 131.4 
1146.00, 131.4 
1147.00, 131.4 
1148.00, 131.41 
1149.00, 131.42 
1150.00, 131.45 
1151.00, 131.47 
1152.00, 131.5 
1153.00, 131.52 
1154.00, 131.55 
1155.00, 131.59 
1156.00, 131.62 
1157.00, 131.64 
1158.00, 131.66 
1159.00, 131.66 
1160.00, 131.64 
1161.00, 131.6 
1162.00, 131.55 
1163.00, 131.49 
1164.00, 131.43 
1165.00, 131.35 
1166.00, 131.24 
1167.00, 131.09 
1168.00, 130.92 
1169.00, 130.76 
1170.00, 130.6 
1171.00, 130.45 
1172.00, 130.28 
1173.00, 130.11 
1174.00, 129.95 
1175.00, 129.83 
1176.00, 129.75 
1177.00, 129.7 
1178.00, 129.65 
1179.00, 129.61 
1180.00, 129.58 
1181.00, 129.56 
1182.00, 129.56 
1183.00, 129.61 
1184.00, 129.7 
1185.00, 129.82 
1186.00, 129.95 
1187.00, 130.09 
1188.00, 130.21 
1189.00, 130.35 
1190.00, 130.52 
1191.00, 130.67 
1192.00, 130.8 
1193.00, 130.89 
1194.00, 130.92 
1195.00, 130.94 
1196.00, 130.96 
1197.00, 130.97 
1198.00, 130.98 
1199.00, 130.98 
1200.00, 130.95 
1201.00, 130.86 
1202.00, 130.71 
1203.00, 130.54 
1204.00, 130.35 
1205.00, 130.18 
1206.00, 129.99 
1207.00, 129.77 
1208.00, 129.54 
1209.00, 129.31 
1210.00, 129.1 
1211.00, 128.92 
1212.00, 128.75 
1213.00, 128.6 
1214.00, 128.45 
1215.00, 128.31 
1216.00, 128.19 
1217.00, 128.08 
1218.00, 127.98 
1219.00, 127.88 
1220.00, 127.79 
1221.00, 127.71 
1222.00, 127.64 
1223.00, 127.59 
1224.00, 127.55 
1225.00, 127.51 
1226.00, 127.48 
1227.00, 127.44 
1228.00, 127.4 
1229.00, 127.35 
1230.00, 127.31 
1231.00, 127.26 
1232.00, 127.2 
1233.00, 127.14 
1234.00, 127.07 
1235.00, 126.99 
1236.00, 126.9 
1237.00, 126.8 
1238.00, 126.7 
1239.00, 126.59 
1240.00, 126.48 
1241.00, 126.35 
1242.00, 126.22 
1243.00, 126.09 
1244.00, 125.97 
1245.00, 125.85 
1246.00, 125.74 
1247.00, 125.63 
1248.00, 125.52 
1249.00, 125.42 
1250.00, 125.32 
1251.00, 125.24 
1252.00, 125.16 
1253.00, 125.08 
1254.00, 125.01 
1255.00, 124.95 
1256.00, 124.88 
1257.00, 124.82 
1258.00, 124.77 
1259.00, 124.72 
1260.00, 124.67 
1261.00, 124.62 
1262.00, 124.57 
1263.00, 124.52 
1264.00, 124.48 
1265.00, 124.44 
1266.00, 124.39 
1267.00, 124.33 
1268.00, 124.25 
1269.00, 124.13 
1270.00, 123.99 
1271.00, 123.82 
1272.00, 123.65 
1273.00, 123.5 
1274.00, 123.35 
1275.00, 123.21 
1276.00, 123.06 
1277.00, 122.93 
1278.00, 122.81 
1279.00, 122.73 
1280.00, 122.65 
1281.00, 122.59 
1282.00, 122.53 
1283.00, 122.48 
1284.00, 122.44 
1285.00, 122.4 
1286.00, 122.37 
1287.00, 122.34 
1288.00, 122.31 
1289.00, 122.28 
1290.00, 122.24 
1291.00, 122.15 
1292.00, 122.02 
1293.00, 121.85 
1294.00, 121.68 
1295.00, 121.51 
1296.00, 121.37 
1297.00, 121.24 
1298.00, 121.11 
1299.00, 120.99 
1300.00, 120.86 
1301.00, 120.74 
1302.00, 120.62 
1303.00, 120.51 
1304.00, 120.39 
1305.00, 120.28 
1306.00, 120.17 
1307.00, 120.05 
1308.00, 119.93 
1309.00, 119.82 
1310.00, 119.7 
1311.00, 119.58 
1312.00, 119.46 
1313.00, 119.34 
1314.00, 119.21 
1315.00, 119.08 
1316.00, 118.95 
1317.00, 118.83 
1318.00, 118.7 
1319.00, 118.57 
1320.00, 118.45 
1321.00, 118.33 
1322.00, 118.21 
1323.00, 118.08 
1324.00, 117.95 
1325.00, 117.81 
1326.00, 117.67 
1327.00, 117.53 
1328.00, 117.38 
1329.00, 117.24 
1330.00, 117.09 
1331.00, 116.95 
1332.00, 116.8 
1333.00, 116.64 
1334.00, 116.46 
1335.00, 116.26 
1336.00, 116.03 
1337.00, 115.78 
1338.00, 115.5 
1339.00, 115.2 
1340.00, 114.89 
1341.00, 114.55 
1342.00, 114.18 
1343.00, 113.78 
1344.00, 113.36 
1345.00, 112.93 
1346.00, 112.48 
1347.00, 111.99 
1348.00, 111.48 
1349.00, 110.96 
1350.00, 110.45 
1351.00, 109.98 
1352.00, 109.53 
1353.00, 109.08 
1354.00, 108.65 
1355.00, 108.25 
1356.00, 107.89 
1357.00, 107.58 
1358.00, 107.28 
1359.00, 106.99 
1360.00, 106.74 
1361.00, 106.55 
1362.00, 106.45 
1363.00, 106.38 
1364.00, 106.33 
1365.00, 106.28 
1366.00, 106.25 
1367.00, 106.22 
1368.00, 106.19 
1369.00, 106.17 
1370.00, 106.15 
1371.00, 106.14 
1372.00, 106.11 
1373.00, 106.08 
1374.00, 106.01 
1375.00, 105.92 
1376.00, 105.8 
1377.00, 105.67 
1378.00, 105.54 
1379.00, 105.4 
1380.00, 105.23 
1381.00, 105.05 
1382.00, 104.86 
1383.00, 104.67 
1384.00, 104.49 
1385.00, 104.31 
1386.00, 104.13 
1387.00, 103.95 
1388.00, 103.77 
1389.00, 103.6 
1390.00, 103.43 
1391.00, 103.26 
1392.00, 103.1 
1393.00, 102.94 
1394.00, 102.78 
1395.00, 102.62 
1396.00, 102.46 
1397.00, 102.31 
1398.00, 102.16 
1399.00,  102 
1400.00, 101.84 
1401.00, 101.68 
1402.00, 101.51 
1403.00, 101.35 
1404.00, 101.19 
1405.00, 101.03 
1406.00, 100.89 
1407.00, 100.75 
1408.00, 100.61 
1409.00, 100.48 
1410.00, 100.34 
1411.00, 100.19 
1412.00, 100.04 
1413.00, 99.882 
1414.00, 99.724 
1415.00, 99.566 
1416.00, 99.41 
1417.00, 99.254 
1418.00, 99.098 
1419.00, 98.943 
1420.00, 98.789 
1421.00, 98.638 
1422.00, 98.486 
1423.00, 98.326 
1424.00, 98.169 
1425.00, 98.024 
1426.00, 97.902 
1427.00, 97.807 
1428.00, 97.715 
1429.00, 97.63 
1430.00, 97.561 
1431.00, 97.515 
1432.00, 97.502 
1433.00, 97.513 
1434.00, 97.536 
1435.00, 97.567 
1436.00, 97.599 
1437.00, 97.627 
1438.00, 97.652 
1439.00, 97.68 
1440.00, 97.708 
1441.00, 97.73 
1442.00, 97.743 
1443.00, 97.743 
1444.00, 97.731 
1445.00, 97.709 
1446.00, 97.679 
1447.00, 97.645 
1448.00, 97.607 
1449.00, 97.549 
1450.00, 97.469 
1451.00, 97.379 
1452.00, 97.288 
1453.00, 97.206 
1454.00, 97.136 
1455.00, 97.07 
1456.00, 97.007 
1457.00, 96.941 
1458.00, 96.869 
1459.00, 96.787 
1460.00, 96.69 
1461.00, 96.586 
1462.00, 96.485 
1463.00, 96.396 
1464.00, 96.329 
1465.00, 96.274 
1466.00, 96.226 
1467.00, 96.183 
1468.00, 96.14 
1469.00, 96.097 
1470.00, 96.052 
1471.00, 96.008 
1472.00, 95.964 
1473.00, 95.924 
1474.00, 95.887 
1475.00, 95.856 
1476.00, 95.83 
1477.00, 95.806 
1478.00, 95.78 
1479.00, 95.749 
1480.00, 95.708 
1481.00, 95.653 
1482.00, 95.587 
1483.00, 95.516 
1484.00, 95.443 
1485.00, 95.372 
1486.00, 95.302 
1487.00, 95.23 
1488.00, 95.154 
1489.00, 95.074 
1490.00, 94.986 
1491.00, 94.887 
1492.00, 94.776 
1493.00, 94.661 
1494.00, 94.545 
1495.00, 94.435 
1496.00, 94.332 
1497.00, 94.231 
1498.00, 94.131 
1499.00, 94.033 
1500.00, 93.938 
1501.00, 93.845 
1502.00, 93.756 
1503.00, 93.668 
1504.00, 93.581 
1505.00, 93.491 
1506.00, 93.396 
1507.00, 93.296 
1508.00, 93.194 
1509.00, 93.091 
1510.00, 92.989 
1511.00, 92.892 
1512.00, 92.799 
1513.00, 92.707 
1514.00, 92.617 
1515.00, 92.526 
1516.00, 92.434 
1517.00, 92.343 
1518.00, 92.252 
1519.00, 92.16 
1520.00, 92.065 
1521.00, 91.964 
1522.00, 91.857 
1523.00, 91.743 
1524.00, 91.625 
1525.00, 91.504 
1526.00, 91.383 
1527.00, 91.26 
1528.00, 91.132 
1529.00, 91.003 
1530.00, 90.877 
1531.00, 90.759 
1532.00, 90.652 
1533.00, 90.552 
1534.00, 90.457 
1535.00, 90.366 
1536.00, 90.275 
1537.00, 90.186 
1538.00, 90.099 
1539.00, 90.015 
1540.00, 89.931 
1541.00, 89.844 
1542.00, 89.751 
1543.00, 89.651 
1544.00, 89.547 
1545.00, 89.441 
1546.00, 89.337 
1547.00, 89.239 
1548.00, 89.147 
1549.00, 89.06 
1550.00, 88.973 
1551.00, 88.885 
1552.00, 88.791 
1553.00, 88.693 
1554.00, 88.592 
1555.00, 88.487 
1556.00, 88.378 
1557.00, 88.265 
1558.00, 88.145 
1559.00, 88.019 
1560.00, 87.888 
1561.00, 87.753 
1562.00, 87.615 
1563.00, 87.474 
1564.00, 87.323 
1565.00, 87.17 
1566.00, 87.019 
1567.00, 86.876 
1568.00, 86.745 
1569.00, 86.621 
1570.00, 86.502 
1571.00, 86.386 
1572.00, 86.271 
1573.00, 86.156 
1574.00, 86.042 
1575.00, 85.929 
1576.00, 85.818 
1577.00, 85.706 
1578.00, 85.595 
1579.00, 85.483 
1580.00, 85.372 
1581.00, 85.262 
1582.00, 85.151 
1583.00, 85.04 
1584.00, 84.933 
1585.00, 84.826 
1586.00, 84.718 
1587.00, 84.604 
