sample1,,sample2,
Wavelength (nm),%T,Wavelength (nm),%T
2124.4,5.493293762,2124.4,5.717566013
2124.3,5.224422455,2124.3,5.450004578
2124.2,4.989151478,2124.2,5.204131603
2124.1,4.788163185,2124.1,4.988302708
2124.0,4.574546337,2124.0,4.752224922
2123.9,4.323338509,2123.9,4.504137039
2123.8,4.060676575,2123.8,4.250276089
2123.7,3.851629019,2123.7,4.015091419
2123.6,3.680087566,2123.6,3.822777033
2123.5,3.536194563,2123.5,3.659246922
2123.4,3.324667454,2123.4,3.432681799
2123.3,3.148673773,2123.3,3.266357183
2123.2,3.029690266,2123.2,3.149365187
2123.1,2.86408186,2123.1,2.993403673
2123.0,2.748829365,2123.0,2.847757816
2122.9,2.574522257,2122.9,2.689930677
2122.8,2.443961382,2122.8,2.534184694
2122.7,2.302367687,2122.7,2.396151304
2122.6,2.212836504,2122.6,2.306127548
2122.5,2.080554008,2122.5,2.165487766
2122.4,1.990692735,2122.4,2.090722322
2122.3,1.884431958,2122.3,1.970043778
2122.2,1.814916492,2122.2,1.88140595
2122.1,1.687162519,2122.1,1.747794867
2122.0,1.60848403,2122.0,1.679924488
2121.9,1.532735705,2121.9,1.589324355
2121.8,1.470566869,2121.8,1.516296029
2121.7,1.372800827,2121.7,1.42611897
2121.6,1.310653448,2121.6,1.364085555
2121.5,1.254484653,2121.5,1.302854776
2121.4,1.201292872,2121.4,1.245222092
2121.3,1.14035809,2121.3,1.190047622
2121.2,1.074595332,2121.2,1.114952564
2121.1,1.026422858,2121.1,1.061181307
2121.0,0.969417512,2121.0,1.004228592
2120.9,0.934033871,2120.9,0.967142344
2120.8,0.886402667,2120.8,0.913292527
2120.7,0.84716922,2120.7,0.883359194
2120.6,0.813686013,2120.6,0.848971784
2120.5,0.778250516,2120.5,0.80987829
2120.4,0.739315093,2120.4,0.763543189
2120.3,0.700768352,2120.3,0.72591877
2120.2,0.661874831,2120.2,0.70020628
2120.1,0.641871929,2120.1,0.662904024
2120.0,0.614731371,2120.0,0.629811168
2119.9,0.57700789,2119.9,0.605442822
2119.8,0.563563645,2119.8,0.581230402
2119.7,0.533561945,2119.7,0.556086063
2119.6,0.520580351,2119.6,0.538662195
2119.5,0.492790818,2119.5,0.50832206
2119.4,0.472905546,2119.4,0.488978207
2119.3,0.453491271,2119.3,0.465780079
2119.2,0.444293916,2119.2,0.454418182
2119.1,0.417657107,2119.1,0.429639459
2119.0,0.401926309,2119.0,0.412485361
2118.9,0.394114018,2118.9,0.405348748
2118.8,0.378004432,2118.8,0.380875945
2118.7,0.35805437,2118.7,0.368428171
2118.6,0.343639016,2118.6,0.347472698
2118.5,0.327972621,2118.5,0.338527352
2118.4,0.318448097,2118.4,0.322348625
2118.3,0.30656305,2118.3,0.31071651
2118.2,0.289414436,2118.2,0.300040275
2118.1,0.281404555,2118.1,0.293398142
2118.0,0.273049921,2118.0,0.277867317
2117.9,0.264999181,2117.9,0.270712435
2117.8,0.251138568,2117.8,0.260232002
2117.7,0.245584622,2117.7,0.248874113
2117.6,0.233000517,2117.6,0.23851122
2117.5,0.227245808,2117.5,0.2352034
2117.4,0.215094447,2117.4,0.222036749
2117.3,0.216297627,2117.3,0.214780614
2117.2,0.203254536,2117.2,0.212725341
2117.1,0.196963415,2117.1,0.199630484
