sample1,,sample2,,
Wavelength (nm),%T,Wavelength (nm),%T,
2140.399902,76.07900238,2140.399902,78.69591522,
2140.300049,76.27332306,2140.300049,78.68225861,
2140.199951,76.36488342,2140.199951,78.92454529,
2140.100098,76.55393982,2140.100098,79.22406006,
2140,76.64507294,2140,79.35652161,
2139.899902,76.71412659,2139.899902,79.26713562,
2139.800049,76.84977722,2139.800049,79.4115448,
2139.699951,76.94206238,2139.699951,79.63587952,
2139.600098,76.94793701,2139.600098,79.74421692,
2139.5,76.97954559,2139.5,79.58242035,
2139.399902,77.10057068,2139.399902,79.78495026,
2139.300049,77.06609344,2139.300049,79.87870789,
2139.199951,77.09915924,2139.199951,79.94708252,
2139.100098,77.1373291,2139.100098,79.8942337,
2139,77.07376099,2139,79.85058594,
2138.899902,77.02236176,2138.899902,79.92848206,
2138.800049,77.05200195,2138.800049,79.99924469,
2138.699951,77.01383209,2138.699951,79.80338287,
2138.600098,76.91392517,2138.600098,79.82887268,
2138.5,76.81109619,2138.5,79.84341431,
2138.399902,76.88742065,2138.399902,79.75187683,
2138.300049,76.69217682,2138.300049,79.51023102,
2138.199951,76.52622223,2138.199951,79.61009979,
2138.100098,76.37757874,2138.100098,79.3860321,
2138,76.28900909,2138,79.13051605,
2137.899902,76.06471252,2137.899902,79.18136597,
2137.800049,75.99292755,2137.800049,79.05020142,
2137.699951,75.86063385,2137.699951,78.87359619,
2137.600098,75.57584381,2137.600098,78.5689621,
2137.5,75.3393631,2137.5,78.34300232,
2137.399902,75.12531281,2137.399902,78.15996552,
2137.300049,74.99668884,2137.300049,78.0952301,
2137.199951,74.70475769,2137.199951,77.77855682,
2137.100098,74.49295807,2137.100098,77.50049591,
2137,74.30599213,2137,77.47730255,
2136.899902,74.07043457,2136.899902,77.06301117,
2136.800049,73.75218201,2136.800049,76.76398468,
2136.699951,73.46945953,2136.699951,76.63638306,
2136.600098,73.16796112,2136.600098,76.09426117,
2136.5,72.87757874,2136.5,76.02262878,
2136.399902,72.54938507,2136.399902,75.73845673,
2136.300049,72.19108582,2136.300049,75.35549164,
2136.199951,71.89348602,2136.199951,75.11911011,
2136.100098,71.56295013,2136.100098,74.73065186,
2136,71.3177948,2136,74.47019958,
2135.899902,70.78926849,2135.899902,73.99071503,
2135.800049,70.32360077,2135.800049,73.46883392,
2135.699951,70.01902771,2135.699951,73.15826416,
2135.600098,69.63209534,2135.600098,72.79220581,
2135.5,69.20941162,2135.5,72.26473236,
2135.399902,68.751297,2135.399902,71.88657379,
2135.300049,68.42657471,2135.300049,71.56512451,
2135.199951,67.97829437,2135.199951,71.09204865,
2135.100098,67.64860535,2135.100098,70.69365692,
2135,67.06772614,2135,70.14555359,
2134.899902,66.56263733,2134.899902,69.63845825,
2134.800049,66.00785065,2134.800049,69.08614349,
2134.699951,65.73571777,2134.699951,68.78873444,
2134.600098,65.21031189,2134.600098,68.15480042,
2134.5,64.60422516,2134.5,67.6943512,
2134.399902,64.21657562,2134.399902,67.15151978,
2134.300049,63.80976486,2134.300049,66.76852417,
2134.199951,62.96038055,2134.199951,65.94127655,
2134.100098,62.49697113,2134.100098,65.38487244,
2134,61.81174088,2134,64.84291077,
2133.899902,61.2722168,2133.899902,64.22277832,
2133.800049,60.91046143,2133.800049,63.62627029,
2133.699951,60.26028824,2133.699951,63.06661987,
2133.600098,59.67266083,2133.600098,62.52045441,
2133.5,59.20428467,2133.5,62.02380753,
2133.399902,58.59029388,2133.399902,61.40868759,
2133.300049,57.78132248,2133.300049,60.60934067,
2133.199951,57.31581879,2133.199951,60.05919647,
2133.100098,56.61791992,2133.100098,59.35767365,
2133,55.98543167,2133,58.63584137,
2132.899902,55.23815155,2132.899902,57.91964722,
2132.800049,54.69803619,2132.800049,57.29455185,
2132.699951,54.11677551,2132.699951,56.69803619,
2132.600098,53.43842316,2132.600098,56.0599556,
2132.5,52.72366333,2132.5,55.2101593,
2132.399902,51.82619095,2132.399902,54.21435165,
2132.300049,51.14913559,2132.300049,53.71322632,
2132.199951,50.4448967,2132.199951,52.81925964,
2132.100098,49.7876358,2132.100098,52.15690613,
2132,48.94124222,2132,51.32806778,
2131.899902,48.41088486,2131.899902,50.72140121,
2131.800049,47.76015854,2131.800049,50.07730865,
2131.699951,47.07621765,2131.699951,49.3392334,
2131.600098,46.1149826,2131.600098,48.51459122,
2131.5,45.46798325,2131.5,47.68388748,
2131.399902,44.75338364,2131.399902,46.91441727,
2131.300049,43.9268074,2131.300049,46.11893845,
2131.199951,43.25286865,2131.199951,45.40590668,
2131.100098,42.5918808,2131.100098,44.63561249,
2131,41.88555908,2131,44.00144958,
2130.899902,41.15116882,2130.899902,43.25610733,
2130.800049,40.42405319,2130.800049,42.49198914,
2130.699951,39.29676056,2130.699951,41.47148514,
2130.600098,38.68286133,2130.600098,40.6595726,
