24Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.6751    1.8005- 9.3190    7.0091     7.0055     0.0510     0.0056     0.0005
 0.7791    1.8005- 9.3190    6.2854     6.2604     0.3993     0.0062     0.0004
 0.8645    1.8005- 9.0129    7.5856     7.6417    -0.7347     0.0039     0.0006
 1.0191    1.8005- 9.0341    7.8993     7.8985     0.0098     0.0041     0.0003
 1.2413    1.8005- 8.9918    8.3463     8.4481    -1.2048     0.0055     0.0004
 1.5585    1.8005- 9.3190    8.5789     8.7061    -1.4607     0.0030     0.0009
 2.1391    1.8005- 9.0129    6.3944     6.4441    -0.7705     0.0057     0.0005



27Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    2.0006- 9.3417   11.0143    10.9392     0.6866     0.0160     0.0011
 0.3800    2.0006- 9.3417    9.5908     9.5113     0.8363     0.0160     0.0013
 0.4512    2.0006- 9.3417    4.7896     4.8356    -0.9503     0.0098     0.0011
 0.4994    2.0006- 9.3417    9.1329     8.9393     2.1654     0.0100     0.0007
 0.5204    2.0006- 9.3417   10.5368    10.4401     0.9261     0.0114     0.0006
 0.6058    2.0006- 9.3417    6.2963     6.2606     0.5703     0.0077     0.0005
 0.6751    2.0006- 9.3190    7.0110     7.0055     0.0780     0.0056     0.0005
 0.7791    2.0006- 9.3417    6.2862     6.2604     0.4120     0.0062     0.0004
 0.8645    2.0006- 9.0341    7.5883     7.6417    -0.6989     0.0039     0.0006
 1.0191    2.0006- 9.3190    7.9006     7.8985     0.0260     0.0041     0.0003
 1.2413    2.0006- 9.0129    8.3483     8.4481    -1.1808     0.0055     0.0004
 1.5585    2.0006- 9.3190    8.5828     8.7061    -1.4166     0.0031     0.0009
 2.1391    2.0006- 9.3190    6.3960     6.4441    -0.7457     0.0057     0.0005



29Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.2002- 3.8624   11.0582    10.9392     1.0877     0.0144     0.0003
 0.3800    1.2002- 3.8546    9.6017     9.5113     0.9510     0.0139     0.0004
 0.4512    1.2002- 3.8663    4.7729     4.8356    -1.2968     0.0072     0.0005
 0.4994    1.2002- 3.8624    9.1592     8.9393     2.4604     0.0090     0.0002
 0.5204    1.2002- 3.8624   10.5450    10.4401     1.0043     0.0105     0.0002
 0.6058    1.2002- 3.8663    6.2922     6.2606     0.5043     0.0071     0.0002
 0.6751    1.2002- 3.8624    6.9991     7.0055    -0.0911     0.0043     0.0003
 0.7791    1.2002- 3.8663    6.2881     6.2604     0.4422     0.0052     0.0003
 0.8645    1.2002- 3.8624    7.5736     7.6417    -0.8917     0.0019     0.0003
 1.0191    1.2002- 3.8624    7.8885     7.8985    -0.1261     0.0034     0.0002
 1.2413    1.2002- 3.8624    8.3148     8.4481    -1.5774     0.0043     0.0004
 1.5585    1.2002- 3.8624    8.5730     8.7061    -1.5284     0.0010     0.0006
 2.1391    1.2002- 3.8546    6.3616     6.4441    -1.2797     0.0041     0.0005


30Aug2008   UT:     std:5
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.2001-11.9742   11.0060    10.9392     0.6109     0.0141     0.0028
 0.3800    1.2001-11.9742    9.5740     9.5113     0.6595     0.0140     0.0031
 0.4512    1.2001-11.9742    4.7715     4.8356    -1.3264     0.0083     0.0031
 0.4994    1.2001-11.9742    9.1488     8.9393     2.3431     0.0087     0.0019
 0.5204    1.3100-11.9742   10.5291    10.4401     0.8520     0.0103     0.0011
 0.6058    1.2001-11.9742    6.2883     6.2606     0.4417     0.0067     0.0013
 0.6751    1.2001-11.9742    7.0034     7.0055    -0.0298     0.0049     0.0015
 0.7791    1.2001-11.9742    6.2874     6.2604     0.4318     0.0056     0.0012
 0.8645    1.2001-11.9742    7.5783     7.6417    -0.8292     0.0033     0.0018
 1.0191    1.2001-11.9742    7.9004     7.8985     0.0234     0.0038     0.0011
 1.2413    1.2001-11.9742    8.3178     8.4481    -1.5422     0.0051     0.0014
 1.5585    1.2001-11.9742    8.6237     8.7061    -0.9464     0.0025     0.0015
 2.1391    1.2001-11.9742    6.3670     6.4441    -1.1967     0.0054     0.0015


30Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.2160-11.9742   11.0134    10.9392     0.6780     0.0142     0.0022
 0.3800    1.2137-11.9742    9.5784     9.5113     0.7055     0.0140     0.0028
